<DOCID>APW19980227.0494</DOCID>
0	e37	['dispute']	1	e41	['signed']	0	4
11	e58	['called']	40	e106	['calls']	5	4
13	e61	['saying']	42	e111	['manufacturing']	2	2
11	e58	['called']	27	e84	['exercises']	4	2
11	e58	['called']	45	e114	['coordination']	2	2
11	e58	['called']	47	e118	['imp', '##over', '##ished']	4	4
11	e58	['called']	42	e111	['manufacturing']	2	2
12	e59	['rat', '##ification']	13	e61	['saying']	4	4
11	e58	['called']	49	e121	['planned']	5	5
11	e58	['called']	46	e116	['improvement']	2	2
11	e58	['called']	29	e87	['remain']	2	1
11	e58	['called']	50	e123	['visit']	1	1
13	e61	['saying']	43	e112	['said']	5	5
20	e71	['opposed']	49	e121	['planned']	3	3
13	e61	['saying']	44	e113	['calls']	5	4
11	e58	['called']	25	e82	['ass', '##ailed']	4	5
11	e58	['called']	36	e99	['aimed']	5	4
11	e58	['called']	37	e101	['doubling']	2	1
12	e59	['rat', '##ification']	15	e64	['help']	0	4
12	e59	['rat', '##ification']	14	e62	['create']	0	4
11	e58	['called']	28	e86	['said']	5	5
12	e59	['rat', '##ification']	16	e65	['assured']	0	4
12	e59	['rat', '##ification']	17	e66	['join']	0	4
12	e59	['rat', '##ification']	18	e69	['said']	0	4
11	e58	['called']	48	e119	['transition']	4	2
11	e58	['called']	24	e77	['consult']	1	2
13	e61	['saying']	45	e114	['coordination']	2	2
22	e74	['released']	41	e107	['cooperation']	2	2
12	e59	['rat', '##ification']	19	e156	['according']	4	4
12	e59	['rat', '##ification']	20	e71	['opposed']	0	4
13	e61	['saying']	35	e158	['signing']	5	4
12	e59	['rat', '##ification']	21	e72	['expansion']	0	4
11	e58	['called']	31	e90	['developing']	1	1
12	e59	['rat', '##ification']	22	e74	['released']	4	4
14	e62	['create']	45	e114	['coordination']	0	4
11	e58	['called']	22	e74	['released']	5	5
14	e62	['create']	42	e111	['manufacturing']	0	4
13	e61	['saying']	49	e121	['planned']	5	5
11	e58	['called']	30	e89	['called']	5	5
22	e74	['released']	35	e158	['signing']	5	4
14	e62	['create']	40	e106	['calls']	4	4
13	e61	['saying']	50	e123	['visit']	1	1
15	e64	['help']	28	e86	['said']	4	4
14	e62	['create']	29	e87	['remain']	0	4
13	e61	['saying']	47	e118	['imp', '##over', '##ished']	4	4
14	e62	['create']	15	e64	['help']	0	4
14	e62	['create']	41	e107	['cooperation']	0	4
20	e71	['opposed']	45	e114	['coordination']	0	2
14	e62	['create']	17	e66	['join']	0	4
14	e62	['create']	36	e99	['aimed']	4	4
14	e62	['create']	34	e98	['visit']	4	4
14	e62	['create']	38	e102	['fell']	4	4
14	e62	['create']	50	e123	['visit']	0	4
11	e58	['called']	23	e75	['pledged']	5	5
14	e62	['create']	37	e101	['doubling']	0	4
14	e62	['create']	44	e113	['calls']	4	4
14	e62	['create']	49	e121	['planned']	4	4
14	e62	['create']	46	e116	['improvement']	0	4
15	e64	['help']	20	e71	['opposed']	0	4
15	e64	['help']	23	e75	['pledged']	4	4
22	e74	['released']	43	e112	['said']	5	5
22	e74	['released']	42	e111	['manufacturing']	2	2
14	e62	['create']	16	e65	['assured']	0	4
15	e64	['help']	16	e65	['assured']	0	3
15	e64	['help']	22	e74	['released']	4	4
15	e64	['help']	25	e82	['ass', '##ailed']	4	4
15	e64	['help']	30	e89	['called']	4	4
15	e64	['help']	26	e83	['holding']	4	4
48	e119	['transition']	50	e123	['visit']	0	1
14	e62	['create']	39	e105	['signed']	4	4
14	e62	['create']	18	e69	['said']	4	4
11	e58	['called']	12	e59	['rat', '##ification']	1	1
13	e61	['saying']	48	e119	['transition']	4	2
14	e62	['create']	19	e156	['according']	4	4
14	e62	['create']	20	e71	['opposed']	0	4
14	e62	['create']	21	e72	['expansion']	0	4
14	e62	['create']	22	e74	['released']	4	4
14	e62	['create']	35	e158	['signing']	4	4
14	e62	['create']	23	e75	['pledged']	4	4
22	e74	['released']	44	e113	['calls']	5	4
15	e64	['help']	18	e69	['said']	4	3
14	e62	['create']	24	e77	['consult']	0	4
15	e64	['help']	21	e72	['expansion']	0	3
14	e62	['create']	25	e82	['ass', '##ailed']	4	4
15	e64	['help']	27	e84	['exercises']	4	3
14	e62	['create']	33	e93	['under', '##mini', '##ng']	4	4
14	e62	['create']	26	e83	['holding']	4	4
15	e64	['help']	17	e66	['join']	0	3
15	e64	['help']	19	e156	['according']	0	3
22	e74	['released']	45	e114	['coordination']	2	2
13	e61	['saying']	46	e116	['improvement']	2	2
14	e62	['create']	27	e84	['exercises']	4	4
14	e62	['create']	28	e86	['said']	4	4
14	e62	['create']	30	e89	['called']	4	4
11	e58	['called']	18	e69	['said']	0	5
14	e62	['create']	31	e90	['developing']	0	4
14	e62	['create']	32	e92	['claimed']	4	4
32	e92	['claimed']	47	e118	['imp', '##over', '##ished']	0	4
31	e90	['developing']	50	e123	['visit']	0	4
32	e92	['claimed']	50	e123	['visit']	1	1
32	e92	['claimed']	43	e112	['said']	1	5
32	e92	['claimed']	40	e106	['calls']	1	4
32	e92	['claimed']	46	e116	['improvement']	1	2
33	e93	['under', '##mini', '##ng']	37	e101	['doubling']	0	1
32	e92	['claimed']	44	e113	['calls']	1	4
33	e93	['under', '##mini', '##ng']	38	e102	['fell']	0	4
33	e93	['under', '##mini', '##ng']	34	e98	['visit']	0	3
32	e92	['claimed']	42	e111	['manufacturing']	1	2
33	e93	['under', '##mini', '##ng']	40	e106	['calls']	1	3
32	e92	['claimed']	36	e99	['aimed']	1	4
32	e92	['claimed']	38	e102	['fell']	0	4
15	e64	['help']	24	e77	['consult']	0	3
32	e92	['claimed']	33	e93	['under', '##mini', '##ng']	0	2
32	e92	['claimed']	34	e98	['visit']	0	5
33	e93	['under', '##mini', '##ng']	35	e158	['signing']	1	3
32	e92	['claimed']	41	e107	['cooperation']	1	2
33	e93	['under', '##mini', '##ng']	39	e105	['signed']	1	4
33	e93	['under', '##mini', '##ng']	42	e111	['manufacturing']	1	3
31	e90	['developing']	49	e121	['planned']	4	4
33	e93	['under', '##mini', '##ng']	43	e112	['said']	1	3
33	e93	['under', '##mini', '##ng']	44	e113	['calls']	1	3
32	e92	['claimed']	45	e114	['coordination']	1	2
34	e98	['visit']	36	e99	['aimed']	0	4
33	e93	['under', '##mini', '##ng']	36	e99	['aimed']	0	4
32	e92	['claimed']	37	e101	['doubling']	0	1
33	e93	['under', '##mini', '##ng']	41	e107	['cooperation']	1	3
32	e92	['claimed']	39	e105	['signed']	1	4
33	e93	['under', '##mini', '##ng']	49	e121	['planned']	1	3
32	e92	['claimed']	49	e121	['planned']	1	5
11	e58	['called']	19	e156	['according']	0	5
32	e92	['claimed']	48	e119	['transition']	0	2
34	e98	['visit']	37	e101	['doubling']	0	1
34	e98	['visit']	38	e102	['fell']	0	4
34	e98	['visit']	39	e105	['signed']	0	4
34	e98	['visit']	40	e106	['calls']	0	4
15	e64	['help']	29	e87	['remain']	0	3
33	e93	['under', '##mini', '##ng']	45	e114	['coordination']	1	3
31	e90	['developing']	48	e119	['transition']	4	4
34	e98	['visit']	44	e113	['calls']	3	4
34	e98	['visit']	47	e118	['imp', '##over', '##ished']	0	4
34	e98	['visit']	49	e121	['planned']	3	4
34	e98	['visit']	41	e107	['cooperation']	0	2
32	e92	['claimed']	35	e158	['signing']	1	4
33	e93	['under', '##mini', '##ng']	48	e119	['transition']	0	3
33	e93	['under', '##mini', '##ng']	46	e116	['improvement']	1	3
35	e158	['signing']	36	e99	['aimed']	5	4
34	e98	['visit']	45	e114	['coordination']	1	2
33	e93	['under', '##mini', '##ng']	50	e123	['visit']	1	3
34	e98	['visit']	50	e123	['visit']	1	1
35	e158	['signing']	37	e101	['doubling']	2	1
34	e98	['visit']	35	e158	['signing']	0	4
35	e158	['signing']	38	e102	['fell']	4	4
35	e158	['signing']	39	e105	['signed']	0	4
34	e98	['visit']	43	e112	['said']	3	5
35	e158	['signing']	40	e106	['calls']	5	4
30	e89	['called']	36	e99	['aimed']	5	4
31	e90	['developing']	47	e118	['imp', '##over', '##ished']	4	4
30	e89	['called']	38	e102	['fell']	4	4
31	e90	['developing']	46	e116	['improvement']	0	4
34	e98	['visit']	46	e116	['improvement']	1	4
35	e158	['signing']	44	e113	['calls']	5	4
35	e158	['signing']	42	e111	['manufacturing']	2	4
35	e158	['signing']	41	e107	['cooperation']	0	4
35	e158	['signing']	46	e116	['improvement']	2	4
35	e158	['signing']	47	e118	['imp', '##over', '##ished']	4	4
35	e158	['signing']	49	e121	['planned']	5	4
35	e158	['signing']	50	e123	['visit']	1	1
30	e89	['called']	33	e93	['under', '##mini', '##ng']	4	2
30	e89	['called']	34	e98	['visit']	2	5
36	e99	['aimed']	37	e101	['doubling']	0	1
35	e158	['signing']	43	e112	['said']	5	1
22	e74	['released']	47	e118	['imp', '##over', '##ished']	4	4
30	e89	['called']	37	e101	['doubling']	2	1
33	e93	['under', '##mini', '##ng']	47	e118	['imp', '##over', '##ished']	0	3
35	e158	['signing']	48	e119	['transition']	4	1
36	e99	['aimed']	40	e106	['calls']	5	1
30	e89	['called']	47	e118	['imp', '##over', '##ished']	4	4
36	e99	['aimed']	41	e107	['cooperation']	2	1
30	e89	['called']	45	e114	['coordination']	2	2
35	e158	['signing']	45	e114	['coordination']	2	4
30	e89	['called']	39	e105	['signed']	5	4
31	e90	['developing']	45	e114	['coordination']	0	4
30	e89	['called']	41	e107	['cooperation']	2	2
36	e99	['aimed']	39	e105	['signed']	5	4
36	e99	['aimed']	38	e102	['fell']	0	4
29	e87	['remain']	48	e119	['transition']	0	4
30	e89	['called']	42	e111	['manufacturing']	2	2
36	e99	['aimed']	42	e111	['manufacturing']	2	1
36	e99	['aimed']	43	e112	['said']	5	1
29	e87	['remain']	47	e118	['imp', '##over', '##ished']	0	4
29	e87	['remain']	49	e121	['planned']	3	4
30	e89	['called']	43	e112	['said']	5	5
36	e99	['aimed']	44	e113	['calls']	5	1
30	e89	['called']	40	e106	['calls']	5	4
30	e89	['called']	44	e113	['calls']	5	5
22	e74	['released']	49	e121	['planned']	5	4
30	e89	['called']	50	e123	['visit']	1	1
31	e90	['developing']	32	e92	['claimed']	0	4
31	e90	['developing']	33	e93	['under', '##mini', '##ng']	0	4
31	e90	['developing']	35	e158	['signing']	4	4
11	e58	['called']	26	e83	['holding']	4	2
36	e99	['aimed']	45	e114	['coordination']	2	1
31	e90	['developing']	36	e99	['aimed']	4	4
30	e89	['called']	46	e116	['improvement']	2	2
31	e90	['developing']	43	e112	['said']	4	4
31	e90	['developing']	38	e102	['fell']	4	4
29	e87	['remain']	50	e123	['visit']	0	4
34	e98	['visit']	42	e111	['manufacturing']	1	2
30	e89	['called']	32	e92	['claimed']	4	5
31	e90	['developing']	34	e98	['visit']	4	4
31	e90	['developing']	39	e105	['signed']	4	4
30	e89	['called']	31	e90	['developing']	0	1
30	e89	['called']	35	e158	['signing']	5	4
31	e90	['developing']	40	e106	['calls']	4	4
30	e89	['called']	49	e121	['planned']	5	5
31	e90	['developing']	41	e107	['cooperation']	0	4
31	e90	['developing']	42	e111	['manufacturing']	0	4
11	e58	['called']	13	e61	['saying']	0	5
31	e90	['developing']	37	e101	['doubling']	0	4
31	e90	['developing']	44	e113	['calls']	4	4
39	e105	['signed']	43	e112	['said']	0	1
39	e105	['signed']	44	e113	['calls']	5	1
38	e102	['fell']	48	e119	['transition']	0	1
22	e74	['released']	50	e123	['visit']	1	1
39	e105	['signed']	45	e114	['coordination']	2	1
39	e105	['signed']	46	e116	['improvement']	2	1
39	e105	['signed']	42	e111	['manufacturing']	0	1
39	e105	['signed']	40	e106	['calls']	5	1
29	e87	['remain']	46	e116	['improvement']	0	4
36	e99	['aimed']	46	e116	['improvement']	2	1
39	e105	['signed']	41	e107	['cooperation']	2	1
39	e105	['signed']	47	e118	['imp', '##over', '##ished']	4	1
39	e105	['signed']	48	e119	['transition']	4	1
39	e105	['signed']	49	e121	['planned']	5	1
36	e99	['aimed']	48	e119	['transition']	4	1
39	e105	['signed']	50	e123	['visit']	1	1
36	e99	['aimed']	50	e123	['visit']	1	1
11	e58	['called']	16	e65	['assured']	5	5
29	e87	['remain']	45	e114	['coordination']	0	4
30	e89	['called']	48	e119	['transition']	4	2
40	e106	['calls']	43	e112	['said']	5	5
36	e99	['aimed']	47	e118	['imp', '##over', '##ished']	4	1
40	e106	['calls']	45	e114	['coordination']	2	2
40	e106	['calls']	46	e116	['improvement']	2	1
40	e106	['calls']	50	e123	['visit']	1	1
36	e99	['aimed']	49	e121	['planned']	5	1
41	e107	['cooperation']	43	e112	['said']	0	3
40	e106	['calls']	48	e119	['transition']	4	1
22	e74	['released']	46	e116	['improvement']	2	4
38	e102	['fell']	50	e123	['visit']	1	1
11	e58	['called']	14	e62	['create']	1	1
40	e106	['calls']	47	e118	['imp', '##over', '##ished']	4	4
38	e102	['fell']	49	e121	['planned']	1	1
11	e58	['called']	21	e72	['expansion']	2	2
40	e106	['calls']	41	e107	['cooperation']	2	2
40	e106	['calls']	42	e111	['manufacturing']	2	2
11	e58	['called']	17	e66	['join']	1	1
41	e107	['cooperation']	42	e111	['manufacturing']	0	3
